Name,Rank,Number,Percent
MATHIS,585,51796,0.0192
BRADFORD,586,51726,0.01917
BOONE,587,51679,0.01916
ABBOTT,588,51620,0.01914
CHARLES,589,51518,0.0191
ALLISON,590,51504,0.01909
SWEENEY,591,51500,0.01909
ATKINSON,592,51489,0.01909
HORN,593,51380,0.01905
JEFFERSON,594,51361,0.01904
ROSALES,595,51336,0.01903
YORK,596,51334,0.01903
CHRISTIAN,597,51177,0.01897
PHELPS,598,51154,0.01896
FARRELL,599,51095,0.01894
CASTANEDA,600,51089,0.01894
NASH,601,51021,0.01891
DICKERSON,602,51017,0.01891
BOND,603,50980,0.0189
WYATT,604,50874,0.01886
FOLEY,605,50852,0.01885
CHASE,606,50777,0.01882
GATES,607,50748,0.01881
VINCENT,608,50628,0.01877
MATHEWS,609,50608,0.01876
HODGE,610,50577,0.01875
GARRISON,611,50482,0.01871
TREVINO,612,50454,0.0187
VILLARREAL,613,50351,0.01866
HEATH,614,50307,0.01865
DALTON,615,50166,0.0186
VALENCIA,616,50026,0.01854
CALLAHAN,617,49925,0.01851
HENSLEY,618,49858,0.01848
ATKINS,619,49754,0.01844
HUFFMAN,620,49737,0.01844
ROY,621,49725,0.01843
BOYER,622,49601,0.01839
SHIELDS,623,49556,0.01837
LIN,624,49360,0.0183
HANCOCK,625,49330,0.01829
GRIMES,626,49245,0.01825
GLENN,627,49241,0.01825
CLINE,628,49167,0.01823
DELACRUZ,629,49158,0.01822
CAMACHO,630,49000,0.01816
DILLON,631,48833,0.0181
PARRISH,632,48823,0.0181
ONEILL,633,48656,0.01804
MELTON,634,48594,0.01801
BOOTH,635,48580,0.01801
KANE,636,48527,0.01799
BERG,637,48480,0.01797
HARRELL,638,48471,0.01797
PITTS,639,48462,0.01796
SAVAGE,640,48367,0.01793
WIGGINS,641,48355,0.01793
BRENNAN,642,48296,0.0179
SALAS,643,48282,0.0179
MARKS,644,48281,0.0179
RUSSO,645,48126,0.01784
SAWYER,646,47979,0.01779
BAXTER,647,47857,0.01774
GOLDEN,648,47839,0.01773
HUTCHINSON,649,47809,0.01772
LIU,650,47665,0.01767
WALTER,651,47615,0.01765
MCDOWELL,652,47526,0.01762
WILEY,653,47503,0.01761
RICH,654,47477,0.0176
HUMPHREY,655,47470,0.0176
JOHNS,656,47289,0.01753
KOCH,657,47286,0.01753
SUAREZ,658,47235,0.01751
HOBBS,659,47220,0.0175
BEARD,660,47128,0.01747
GILMORE,661,47050,0.01744
IBARRA,662,46895,0.01738
KEITH,663,46747,0.01733
MACIAS,664,46739,0.01733
KHAN,665,46713,0.01732
ANDRADE,666,46702,0.01731
WARE,667,46682,0.0173
STEPHENSON,668,46662,0.0173
HENSON,669,46609,0.01728
WILKERSON,670,46605,0.01728
DYER,671,46574,0.01726
MCCLURE,672,46505,0.01724
BLACKWELL,673,46495,0.01724
MERCADO,674,46437,0.01721
TANNER,675,46412,0.0172
EATON,676,46403,0.0172
CLAY,677,46264,0.01715
BARRON,678,46196,0.01712
BEASLEY,679,46179,0.01712
