Name,Rank,Number,Percent
EMILIA,773,19735,0.013
EMILY,99,315763,0.208
EMMA,134,250485,0.165
ENID,930,13663,0.009
ERICA,169,197352,0.13
ERICKA,753,21253,0.014
ERIKA,298,92604,0.061
ERIN,160,214051,0.141
ERMA,383,62242,0.041
ERNA,929,13663,0.009
ERNESTINE,409,57687,0.038
ESMERALDA,779,19735,0.013
ESPERANZA,590,31880,0.021
ESSIE,474,44025,0.029
ESTELA,736,21253,0.014
ESTELLA,541,36434,0.024
ESTELLE,417,54651,0.036
ESTER,620,28844,0.019
ESTHER,132,252003,0.166
ETHEL,125,264148,0.174
ETTA,536,36434,0.024
EUGENIA,563,34916,0.023
EULA,438,50097,0.033
EUNICE,326,81977,0.054
EVA,140,241376,0.159
EVANGELINA,926,13663,0.009
EVANGELINE,849,16699,0.011
EVE,781,19735,0.013
EVELYN,57,488825,0.322
FAITH,484,42507,0.028
FANNIE,344,75905,0.05
FANNY,974,13663,0.009
FAY,585,31880,0.021
FAYE,309,88049,0.058
FELECIA,992,12145,0.008
FELICIA,283,103230,0.068
FERN,552,36434,0.024
FLORA,353,74386,0.049
FLORENCE,107,303618,0.2
FLORINE,970,13663,0.009
FLOSSIE,726,21253,0.014
FRAN,865,16699,0.011
FRANCES,47,561694,0.37
FRANCESCA,966,13663,0.009
FRANCINE,514,37952,0.025
FRANCIS,393,59206,0.039
FRANCISCA,542,36434,0.024
FRANKIE,570,33398,0.022
FREDA,432,51615,0.034
FREIDA,935,13663,0.009
FRIEDA,651,25808,0.017
GABRIELA,628,27326,0.018
GABRIELLE,659,25808,0.017
GAIL,155,220123,0.145
GALE,690,24289,0.016
GAY,795,18217,0.012
GAYLE,375,65278,0.043
GENA,879,15181,0.01
GENEVA,303,89567,0.059
GENEVIEVE,333,77423,0.051
GEORGETTE,863,16699,0.011
GEORGIA,231,138146,0.091
GEORGINA,717,22771,0.015
GERALDINE,161,214051,0.141
GERTRUDE,207,156363,0.103
GILDA,958,13663,0.009
GINA,213,150291,0.099
GINGER,428,51615,0.034
GLADYS,103,311209,0.205
GLENDA,242,133592,0.088
GLENNA,627,27326,0.018
GLORIA,56,508560,0.335
GOLDIE,565,34916,0.023
GRACE,114,286919,0.189
GRACIE,638,27326,0.018
GRACIELA,622,28844,0.019
GRETA,728,21253,0.014
GRETCHEN,444,48579,0.032
GUADALUPE,304,89567,0.059
GWEN,451,47061,0.031
GWENDOLYN,264,112339,0.074
HALEY,722,21253,0.014
HALLIE,928,13663,0.009
HANNAH,367,68314,0.045
HARRIET,316,85013,0.056
HARRIETT,769,19735,0.013
HATTIE,315,85013,0.056
HAZEL,138,244413,0.161
HEATHER,53,511597,0.337
HEIDI,241,133592,0.088
HELEN,15,1006494,0.663
HELENA,594,31880,0.021
HELENE,551,36434,0.024
HELGA,957,13663,0.009
HENRIETTA,447,47061,0.031
HERMINIA,998,12145,0.008
HESTER,938,13663,0.009
HILARY,735,21253,0.014
HILDA,263,113857,0.075
HILLARY,788,19735,0.013
HOLLIE,962,13663,0.009
HOLLY,186,177617,0.117
HOPE,427,51615,0.034
IDA,183,179135,0.118
ILA,727,21253,0.014
ILENE,832,16699,0.011
IMELDA,888,15181,0.01
IMOGENE,623,28844,0.019
INA,556,34916,0.023
INES,976,13663,0.009
INEZ,328,80459,0.053
INGRID,561,34916,0.023
IRENE,76,382559,0.252
IRIS,325,83495,0.055
IRMA,255,119929,0.079
ISABEL,313,86531,0.057
ISABELLA,997,12145,0.008
ISABELLE,611,28844,0.019
IVA,562,34916,0.023
IVY,697,24289,0.016
JACKIE,235,136628,0.09
JACKLYN,934,13663,0.009
JACLYN,637,27326,0.018
JACQUELINE,86,346125,0.228
JACQUELYN,382,62242,0.041
JAIME,498,40988,0.027
JAMES,875,15181,0.01
JAMI,754,21253,0.014
JAMIE,146,232268,0.153
JAN,340,77423,0.051
JANA,449,47061,0.031
JANE,77,379523,0.25
JANELL,975,13663,0.009
JANELLE,548,36434,0.024
JANET,45,575356,0.379
JANETTE,573,33398,0.022
JANICE,66,432656,0.285
JANIE,336,77423,0.051
JANINE,600,30362,0.02
JANIS,429,51615,0.034
JANNA,895,15181,0.01
JANNIE,944,13663,0.009
JASMINE,404,57687,0.038
JAYNE,636,27326,0.018
JEAN,58,478199,0.315
JEANETTE,191,174580,0.115
JEANIE,766,19735,0.013
JEANINE,648,25808,0.017
JEANNE,200,165472,0.109
JEANNETTE,364,69832,0.046
JEANNIE,479,42507,0.028
JEANNINE,683,24289,0.016
JENIFER,568,34916,0.023
JENNA,453,45543,0.03
JENNIE,265,110821,0.073
JENNIFER,6,1414861,0.932
JENNY,282,103230,0.068
JERI,702,22771,0.015
JERRI,801,18217,0.012
JERRY,838,16699,0.011
JESSICA,26,743864,0.49
JESSIE,215,148773,0.098
JEWEL,522,37952,0.025
JEWELL,584,31880,0.021
JILL,159,215569,0.142
JILLIAN,586,31880,0.021
JIMMIE,667,25808,0.017
JO,250,126002,0.083
JOAN,62,464536,0.306
JOANN,164,206460,0.136
JOANNA,324,83495,0.055
JOANNE,147,227714,0.15
JOCELYN,613,28844,0.019
JODI,335,77423,0.051
JODIE,663,25808,0.017
JODY,402,57687,0.038
JOHANNA,486,42507,0.028
JOHN,819,18217,0.012
JOHNNIE,391,59206,0.039
JOLENE,624,28844,0.019
JONI,615,28844,0.019
JORDAN,792,18217,0.012
JOSEFA,899,15181,0.01
JOSEFINA,478,42507,0.028
JOSEPHINE,121,268702,0.177
JOSIE,543,36434,0.024
JOY,230,138146,0.091
JOYCE,49,552585,0.364
JUANA,363,69832,0.046
